Date ,Open ,High ,Low ,Close ,Shares Traded ,Turnover (? Cr)
17-Feb-22,14857.1,14895.65,14725.05,14772.05,1173686803,39296.63
18-Feb-22,14711.3,14815,14692.65,14710.7,1107629373,33912.69
21-Feb-22,14638.35,14733.1,14498.2,14597.1,1685206945,41360.43
22-Feb-22,14269.45,14527.2,14267.6,14489.05,1789782510,50396.16
23-Feb-22,14581.05,14629.05,14482.3,14506.95,1359046090,38951.88
24-Feb-22,14055.85,14180.85,13747.45,13775.7,2896660329,75653.9
25-Feb-22,14018.1,14247.05,14007.7,14187.4,2082555257,54706.24
28-Feb-22,14047.75,14320.95,13928.8,14307.95,2039609404,62504.81
02-Mar-22,14161.7,14265.5,14104.75,14199.8,1960825495,66290.37
03-Mar-22,14327.7,14364.6,14094.3,14135.95,1981292495,59287.17
04-Mar-22,14020.2,14075,13828.45,13893.15,2163358448,63248.32
07-Mar-22,13594.75,13637.5,13438.3,13564.25,2132125281,65001.68
08-Mar-22,13504.75,13720.1,13423.55,13706.75,1986681475,66754.87
09-Mar-22,13786.4,14037.65,13721.95,13979.6,1863587266,62669.26
10-Mar-22,14313.2,14316.8,14079.85,14189,1946810503,67367.68
11-Mar-22,14145.5,14268.3,14098.7,14237.15,1529739344,52279.33
14-Mar-22,14248.9,14389.35,14189.1,14374.6,1450414963,52485.63
15-Mar-22,14408.75,14433.75,14130.9,14215.85,1766275769,60067.46
16-Mar-22,14392.55,14491.45,14369.5,14481.8,1284516904,46978.09
17-Mar-22,14667.2,14756.55,14644.75,14721.7,2600172827,76084.9
21-Mar-22,14773.05,14789.85,14590.7,14602.35,1498216639,50811.88
22-Mar-22,14613.1,14738.15,14492.25,14724.05,1520859061,53604.32
23-Mar-22,14806.6,14833.3,14660.45,14695.15,1679968615,53305.49
24-Mar-22,14598.75,14744.7,14595.7,14699.35,1609080043,51907.08
25-Mar-22,14763.9,14768.3,14590.45,14651.7,1396675558,48378.72
28-Mar-22,14686.25,14694.85,14515.65,14675.85,1547370762,50067.99
29-Mar-22,14744.05,14773.15,14689.6,14761.9,1722624126,48744.91
30-Mar-22,14880.7,14924.75,14823.55,14896.9,2148589897,63379.17
31-Mar-22,14925.55,14963.4,14871,14894.5,1815251648,57574.09
01-Apr-22,14890.1,15111.35,14882.6,15087.3,1854339950,50717.36
04-Apr-22,15192.8,15393.35,15184.7,15384.2,1956545495,68815.6
05-Apr-22,15433.05,15477.8,15360.2,15390.5,1870375947,64442.11
06-Apr-22,15318.15,15387.4,15293.85,15327.9,2840470400,64308.15
07-Apr-22,15292.35,15361.2,15185.7,15201.25,3302836546,68063.89
08-Apr-22,15271.35,15386.1,15202.5,15342.4,2385268764,60265.87
11-Apr-22,15337.5,15386.85,15294.3,15325.5,1750682873,52303.6
12-Apr-22,15281.85,15283.35,15078.45,15164.7,1771383713,58239.54
13-Apr-22,15239.65,15284.7,15126.65,15138.55,1388505488,45901.9
18-Apr-22,14942.6,14971.5,14821.25,14926.05,1668247374,60047.19
19-Apr-22,15012.75,15041.65,14617.05,14726.65,1855369225,67306.28
20-Apr-22,14807.15,14905.25,14747.95,14850.3,1463035590,52661.9
21-Apr-22,14946.3,15067.45,14929.15,15053.95,1436607750,52993.51
22-Apr-22,14948.1,15015.35,14875.8,14894.85,1486943550,53664.31
25-Apr-22,14758.6,14769.1,14623.1,14673,1525996866,48734.05
26-Apr-22,14818.8,14915.35,14785.85,14898.35,1357486732,48335.02
27-Apr-22,14797.35,14825.55,14678.95,14756,1542960449,51582.19
28-Apr-22,14886.5,14964.6,14765.85,14913.9,1613145949,54878.9
29-Apr-22,14991.45,15011.7,14743.35,14783.35,1609557502,57710.45
02-May-22,14647.25,14751.05,14617.75,14736.3,1413251679,44482.85
04-May-22,14771.45,14798.3,14343.6,14393.35,1629680302,52977.14
05-May-22,14542.15,14606.05,14365.55,14395.5,1349654710,44646.86
06-May-22,14159.1,14205,14073.45,14145.75,1526108456,52136.4
09-May-22,14002.75,14088.3,13879.55,13991.75,1418991426,47160.84
10-May-22,13953.95,14068.4,13823.35,13855.95,1345479766,46668.31
11-May-22,13888.15,13949.1,13589.35,13771.8,1785910352,52297.48
12-May-22,13656.95,13671,13389.75,13465.25,1827965124,50841.16
13-May-22,13621.2,13738.55,13435.05,13471.5,1731094866,56887.33
16-May-22,13540.25,13646.3,13434.45,13571.2,1504177884,42448.54
17-May-22,13648.45,13944.7,13632.15,13926.05,1543622516,46608.4
18-May-22,13989.35,14064,13896.6,13918.2,1588231425,50975.45
19-May-22,13625.75,13680.65,13520.95,13550.9,1522617779,46743.19
20-May-22,13755.05,13906.4,13733.55,13895.05,1395201103,45817.33
23-May-22,13929.75,14005.5,13813.6,13835.8,1568671748,48946.48
24-May-22,13858.05,13883.55,13709.4,13747.25,1571206265,44298.52
25-May-22,13805.1,13821.4,13574.5,13587.75,1367445922,43959.11
26-May-22,13651.55,13756.85,13445.25,13722.55,1681237805,53653.45
27-May-22,13839.3,13885.05,13768.3,13873.15,1251551533,42132.19
30-May-22,14022.6,14163.05,14009.65,14154.8,1395876254,44818.66
31-May-22,14106,14215.45,14067.05,14119.6,2587496055,102893.26
01-Jun-22,14132.1,14186.9,14009.05,14082.9,1370794669,44043.19
02-Jun-22,14059.25,14179.3,14029.8,14167.95,1277988674,41032.64
03-Jun-22,14280.35,14300,14064.9,14077.9,1205648026,45091.34
